year,road_section,traffic_period,weather_station_id,wind_bin,wind_bin_lower_ms,estimated_vehicle_km,injury_accidents,serious_or_fatal_accidents,one_vehicle_accidents,multiple_vehicle_accidents
2007,1-d2,VDU,36308,10-15,10.0,496360.43960655737,0,0,0,0
2007,1-d2,VDU,36308,15-20,15.0,57004.98045901639,0,0,0,0
2007,1-d2,VDU,36308,20-25,20.0,6256.644196721309,0,0,0,0
2007,1-d2,VDU,36308,>=25,25.0,1158.637814207647,0,0,0,0
2007,1-d2,VHDU,36308,0-5,0.0,2427107.1745722108,0,0,0,0
2007,1-d2,VHDU,36308,5-10,5.0,2326955.1684839153,0,0,0,0
2007,1-d2,VHDU,36308,10-15,10.0,480910.08328884334,1,1,0,1
2007,1-d2,VHDU,36308,15-20,15.0,36090.81300479124,0,0,0,0
2007,1-d2,VHDU,36308,20-25,20.0,1804.5406502395585,0,0,0,0
2007,1-d6,SDU,31399,0-5,0.0,7664735.330000001,2,1,1,1
2007,1-d6,SDU,31399,5-10,5.0,3696423.943333334,0,0,0,0
2007,1-d6,SDU,31399,10-15,10.0,752706.2044444446,0,0,0,0
2007,1-d6,SDU,31399,15-20,15.0,40125.88222222222,0,0,0,0
2007,1-d6,VDU,31399,0-5,0.0,2946403.3183603175,0,0,0,0
2007,1-d6,VDU,31399,5-10,5.0,2351949.866758526,1,1,0,1
2007,1-d6,VDU,31399,10-15,10.0,1646114.61054082,1,0,1,0
2007,1-d6,VDU,31399,15-20,15.0,311201.5964174992,0,0,0,0
2007,1-d6,VDU,31399,20-25,20.0,10011.847605924902,0,0,0,0
2007,1-d6,VDU,31399,>=25,25.0,417.160316913531,0,0,0,0
2007,1-d6,VHDU,31399,0-5,0.0,4532756.209270044,0,0,0,0
2007,1-d6,VHDU,31399,5-10,5.0,3730153.0395031055,1,0,1,0
2007,1-d6,VHDU,31399,10-15,10.0,1085465.9790985242,0,0,0,0
2007,1-d6,VHDU,31399,15-20,15.0,35291.012128326394,0,0,0,0
2007,1-d8,SDU,31392,0-5,0.0,8619228.63489667,0,0,0,0
2007,1-d8,SDU,31392,5-10,5.0,7290095.247272416,1,0,0,1
2007,1-d8,SDU,31392,10-15,10.0,2126406.8726638197,1,0,1,0
2007,1-d8,SDU,31392,15-20,15.0,104306.50516709365,0,0,0,0
2007,1-d8,VDU,31392,0-5,0.0,3164870.9103936106,2,1,1,1
2007,1-d8,VDU,31392,5-10,5.0,4205148.148334196,4,0,4,0
2007,1-d8,VDU,31392,10-15,10.0,2392994.721830144,1,0,1,0
2007,1-d8,VDU,31392,15-20,15.0,524304.4889162788,2,1,0,2
2007,1-d8,VDU,31392,20-25,20.0,62488.04918979487,0,0,0,0
2007,1-d8,VDU,31392,>=25,25.0,7141.491335976552,0,0,0,0
2007,1-d8,VHDU,31392,0-5,0.0,4775191.623756416,2,0,2,0
2007,1-d8,VHDU,31392,5-10,5.0,5814072.099922419,1,0,1,0
2007,1-d8,VHDU,31392,10-15,10.0,2424562.578638334,0,0,0,0
2007,1-d8,VHDU,31392,15-20,15.0,317837.97399942955,0,0,0,0
2007,1-d8,VHDU,31392,20-25,20.0,27439.249553907583,0,0,0,0
2007,1-d8,VHDU,31392,>=25,25.0,2286.6041294922943,0,0,0,0
2007,1-d9,SDU,31484,0-5,0.0,3016429.2213968066,2,0,1,1
2007,1-d9,SDU,31484,5-10,5.0,2257029.0216020523,2,0,1,1
2007,1-d9,SDU,31484,10-15,10.0,696926.6915849488,0,0,0,0
2007,1-d9,SDU,31484,15-20,15.0,114534.76505131127,0,0,0,0
2007,1-d9,SDU,31484,20-25,20.0,2776.6003648802703,0,0,0,0
2007,1-d9,VDU,31484,0-5,0.0,1441109.9418349415,1,0,1,0
2007,1-d9,VDU,31484,5-10,5.0,1366430.284564094,2,0,2,0
2007,1-d9,VDU,31484,10-15,10.0,626271.9036130256,0,0,0,0
2007,1-d9,VDU,31484,15-20,15.0,129652.18276188837,0,0,0,0
2007,1-d9,VDU,31484,20-25,20.0,43148.246423156445,1,0,0,1
2007,1-d9,VDU,31484,>=25,25.0,5393.530802894554,0,0,0,0
2007,1-d9,VHDU,31484,0-5,0.0,1778548.225516416,1,0,1,0
2007,1-d9,VHDU,31484,5-10,5.0,2044466.0206908346,1,1,0,1
2007,1-d9,VHDU,31484,10-15,10.0,813395.6087688099,0,0,0,0
2007,1-d9,VHDU,31484,15-20,15.0,160813.0319630643,0,0,0,0
2007,1-d9,VHDU,31484,20-25,20.0,17288.773060875516,0,0,0,0
2007,1-e1,VDU,31484,0-5,0.0,3407626.345238915,1,0,1,0
2007,1-e1,VDU,31484,5-10,5.0,3231039.979284401,0,0,0,0
2007,1-e1,VDU,31484,10-15,10.0,1480872.8856018835,1,0,1,0
2007,1-e1,VDU,31484,15-20,15.0,306573.5520043648,0,0,0,0
2007,1-e1,VDU,31484,20-25,20.0,102027.67810705258,1,0,0,1
2007,1-e1,VDU,31484,>=25,25.0,12753.459763381567,0,0,0,0
2007,1-e2,SDU,1481,0-5,0.0,2817660.835,1,0,0,1
2007,1-e2,SDU,1481,5-10,5.0,1696716.68375,0,0,0,0
2007,1-e2,SDU,1481,10-15,10.0,538041.30875,0,0,0,0
2007,1-e2,SDU,1481,15-20,15.0,163402.9375,0,0,0,0
2007,1-e2,SDU,1481,20-25,20.0,3565.1549999999975,0,0,0,0
2007,1-e2,VHDU,1481,0-5,0.0,1496822.7707013444,0,0,0,0
2007,1-e2,VHDU,1481,5-10,5.0,1665045.3202541017,1,1,0,1
2007,1-e2,VHDU,1481,10-15,10.0,808422.6920350955,0,0,0,0
2007,1-e2,VHDU,1481,15-20,15.0,196617.5614630811,0,0,0,0
2007,1-e2,VHDU,1481,20-25,20.0,21236.605546376482,0,0,0,0
2007,1-f3,SDU,1479,0-5,0.0,11058526.215833334,0,0,0,0
2007,1-f3,SDU,1479,5-10,5.0,3225087.3772222227,1,0,1,0
2007,1-f3,SDU,1479,10-15,10.0,523465.5675,0,0,0,0
2007,1-f3,SDU,1479,15-20,15.0,1685.8794444444359,0,0,0,0
2007,1-f3,VDU,1479,0-5,0.0,5524441.98,1,0,0,1
2007,1-f3,VDU,1479,5-10,5.0,5062245.855,0,0,0,0
2007,1-f3,VDU,1479,10-15,10.0,1169527.38,0,0,0,0
2007,1-f3,VDU,1479,15-20,15.0,162282.195,0,0,0,0
2007,1-f3,VDU,1479,20-25,20.0,12325.229999999996,0,0,0,0
2007,1-f4,SDU,1479,0-5,0.0,2274237.867708334,0,0,0,0
2007,1-f4,SDU,1479,5-10,5.0,663254.3701388891,1,0,0,1
2007,1-f4,SDU,1479,10-15,10.0,107653.15312500001,0,0,0,0
2007,1-f4,SDU,1479,15-20,15.0,346.70902777777604,0,0,0,0
2007,1-f5,SDU,31579,0-5,0.0,8123149.276666667,1,1,0,1
2007,1-f5,SDU,31579,5-10,5.0,3628141.082222223,1,0,1,0
2007,1-f5,SDU,31579,10-15,10.0,1257072.078888889,0,0,0,0
2007,1-f5,SDU,31579,15-20,15.0,322110.3744444445,0,0,0,0
2007,1-f5,SDU,31579,20-25,20.0,99464.01111111112,1,0,0,1
2007,1-f5,SDU,31579,>=25,25.0,11476.616666666656,1,0,1,0
2007,1-f5,VDU,31579,0-5,0.0,3403888.0391468816,2,1,2,0
2007,1-f5,VDU,31579,5-10,5.0,2717693.1028732397,0,0,0,0
2007,1-f5,VDU,31579,10-15,10.0,1461728.2714527166,0,0,0,0
2007,1-f5,VDU,31579,15-20,15.0,539356.8231790744,0,0,0,0
2007,1-f5,VDU,31579,20-25,20.0,126404.33036619719,0,0,0,0
2007,1-f5,VDU,31579,>=25,25.0,17107.352981891345,0,0,0,0
2007,1-f5,VHDU,31579,0-5,0.0,4430256.839801573,0,0,0,0
2007,1-f5,VHDU,31579,5-10,5.0,3691979.532138214,1,0,0,1
2007,1-f5,VHDU,31579,10-15,10.0,1668091.619644201,0,0,0,0
2007,1-f5,VHDU,31579,15-20,15.0,531322.4639890523,0,0,0,0
2007,1-f5,VHDU,31579,20-25,20.0,70566.264748546,0,0,0,0
2007,1-f5,VHDU,31579,>=25,25.0,7708.9196784125825,0,0,0,0
2007,1-f6,VDU,1578,0-5,0.0,930565.6729096266,2,0,0,2
2007,1-f6,VDU,1578,5-10,5.0,635703.2953496483,0,0,0,0
2007,1-f6,VDU,1578,10-15,10.0,358832.52048824483,0,0,0,0
2007,1-f6,VDU,1578,15-20,15.0,111198.10001202574,1,0,1,0
2007,1-f6,VDU,1578,20-25,20.0,35858.26371174314,0,0,0,0
2007,1-f6,VDU,1578,>=25,25.0,5747.317528711442,0,0,0,0
2007,1-f7,SDU,1578,0-5,0.0,496630.86583333334,1,0,1,0
2007,1-f7,SDU,1578,5-10,5.0,196954.9361111111,0,0,0,0
2007,1-f7,SDU,1578,10-15,10.0,89160.16194444447,0,0,0,0
2007,1-f7,SDU,1578,15-20,15.0,25507.278611111116,0,0,0,0
2007,1-f7,SDU,1578,20-25,20.0,2075.6374999999994,0,0,0,0
2007,1-f8,SDU,1578,0-5,0.0,3043184.88,2,0,1,1
2007,1-f8,SDU,1578,5-10,5.0,1206872.8,0,0,0,0
2007,1-f8,SDU,1578,10-15,10.0,546343.12,0,0,0,0
2007,1-f8,SDU,1578,15-20,15.0,156299.92,0,0,0,0
2007,1-f8,SDU,1578,20-25,20.0,12718.799999999996,0,0,0,0
2007,1-g1,SDU,1578,0-5,0.0,4421296.577083333,2,1,2,0
2007,1-g1,SDU,1578,5-10,5.0,1753407.298611111,0,0,0,0
2007,1-g1,SDU,1578,10-15,10.0,793755.5756944445,0,0,0,0
2007,1-g1,SDU,1578,15-20,15.0,227080.61736111113,0,0,0,0
2007,1-g1,SDU,1578,20-25,20.0,18478.531249999993,0,0,0,0
2007,1-g1,VDU,1578,0-5,0.0,1797568.843749624,0,0,0,0
2007,1-g1,VDU,1578,5-10,5.0,1227984.7310684863,0,0,0,0
2007,1-g1,VDU,1578,10-15,10.0,693154.9032289097,1,0,1,0
2007,1-g1,VDU,1578,15-20,15.0,214800.78825686965,1,0,0,1
2007,1-g1,VDU,1578,20-25,20.0,69267.22048283326,0,0,0,0
2007,1-g1,VDU,1578,>=25,25.0,11102.06321327641,0,0,0,0
2007,1-g3,VDU,1673,0-5,0.0,1472662.1641666668,0,0,0,0
2007,1-g3,VDU,1673,5-10,5.0,1326301.0466666666,1,0,0,1
2007,1-g3,VDU,1673,10-15,10.0,681473.2575,0,0,0,0
2007,1-g3,VDU,1673,15-20,15.0,271308.9191666667,0,0,0,0
2007,1-g3,VDU,1673,20-25,20.0,81238.14666666668,0,0,0,0
2007,1-g3,VDU,1673,>=25,25.0,13466.105833333333,0,0,0,0
2007,1-g3,VHDU,1673,0-5,0.0,1987075.7902117486,1,0,1,0
2007,1-g3,VHDU,1673,5-10,5.0,2016693.8523702186,1,0,1,0
2007,1-g3,VHDU,1673,10-15,10.0,972657.161284153,0,0,0,0
2007,1-g3,VHDU,1673,15-20,15.0,172377.12176229508,0,0,0,0
2007,1-g3,VHDU,1673,20-25,20.0,46204.17696721312,0,0,0,0
2007,1-g3,VHDU,1673,>=25,25.0,8293.057404371584,0,0,0,0
2007,1-g4,VHDU,31674,0-5,0.0,1534208.050115244,0,0,0,0
2007,1-g4,VHDU,31674,5-10,5.0,1257550.9666602006,0,0,0,0
2007,1-g4,VHDU,31674,10-15,10.0,662944.6977418987,0,0,0,0
2007,1-g4,VHDU,31674,15-20,15.0,124702.1480648106,0,0,0,0
2007,1-g4,VHDU,31674,20-25,20.0,27665.708345504332,0,0,0,0
2007,1-g4,VHDU,31674,>=25,25.0,11768.249072341392,1,0,1,0
2007,1-g5,SDU,1779,0-5,0.0,1115372.7666666668,1,0,0,1
2007,1-g5,SDU,1779,5-10,5.0,559646.2722222223,0,0,0,0
2007,1-g5,SDU,1779,10-15,10.0,43607.52777777778,0,0,0,0
2007,1-g5,SDU,1779,15-20,15.0,2841.8388888888894,0,0,0,0
2007,1-g5,SDU,1779,20-25,20.0,97.99444444444309,0,0,0,0
2007,1-g5,VDU,1779,0-5,0.0,408630.35448529414,1,0,1,0
2007,1-g5,VDU,1779,5-10,5.0,231216.25979779416,0,0,0,0
2007,1-g5,VDU,1779,10-15,10.0,69851.34264705885,0,0,0,0
2007,1-g5,VDU,1779,15-20,15.0,10311.38867647059,0,0,0,0
2007,1-g5,VDU,1779,20-25,20.0,3326.2544117647053,0,0,0,0
2007,1-g5,VDU,1779,>=25,25.0,457.359981617647,0,0,0,0
2007,1-g8,VDU,1779,0-5,0.0,937045.7143841912,1,0,1,0
2007,1-g8,VDU,1779,5-10,5.0,530210.7466107537,0,0,0,0
2007,1-g8,VDU,1779,10-15,10.0,160178.75459558828,0,0,0,0
2007,1-g8,VDU,1779,15-20,15.0,23645.435202205885,0,0,0,0
2007,1-g8,VDU,1779,20-25,20.0,7627.5597426470595,0,0,0,0
2007,1-g8,VDU,1779,>=25,25.0,1048.7894646139705,0,0,0,0
2007,1-g8,VHDU,1779,0-5,0.0,1193569.1712204013,1,0,1,0
2007,1-g8,VHDU,1779,5-10,5.0,870822.9198542808,0,0,0,0
2007,1-g8,VHDU,1779,10-15,10.0,185823.5992714026,0,0,0,0
2007,1-g8,VHDU,1779,15-20,15.0,10552.309653916214,0,0,0,0
2007,1-h0,VDU,1881,0-5,0.0,687025.1158246442,0,0,0,0
2007,1-h0,VDU,1881,5-10,5.0,388407.9250371565,1,1,0,1
2007,1-h0,VDU,1881,10-15,10.0,71819.32436661098,0,0,0,0
2007,1-h0,VDU,1881,15-20,15.0,3713.649274727806,0,0,0,0
2007,1-h0,VDU,1881,20-25,20.0,198.94549686041785,0,0,0,0
2007,1-h3,VHDU,31985,0-5,0.0,526509.1267711597,0,0,0,0
2007,1-h3,VHDU,31985,5-10,5.0,407145.0427586205,0,0,0,0
2007,1-h3,VHDU,31985,10-15,10.0,209282.73404388706,0,0,0,0
2007,1-h3,VHDU,31985,15-20,15.0,61917.9686520376,1,1,1,0
2007,1-h3,VHDU,31985,20-25,20.0,2201.52777429467,0,0,0,0
2007,1-h4,VHDU,32097,0-5,0.0,427388.29148211534,1,0,1,0
2007,1-h4,VHDU,32097,5-10,5.0,600766.8118038678,0,0,0,0
2007,1-h4,VHDU,32097,10-15,10.0,313310.0032586,0,0,0,0
2007,1-h4,VHDU,32097,15-20,15.0,127730.1402173541,0,0,0,0
2007,1-h4,VHDU,32097,20-25,20.0,25255.926188601745,0,0,0,0
2007,1-h4,VHDU,32097,>=25,25.0,1194.5370494608933,0,0,0,0
2007,1-j1,VHDU,32097,0-5,0.0,429986.9763414913,1,1,0,1
2007,1-j1,VHDU,32097,5-10,5.0,604419.7046157796,0,0,0,0
2007,1-j1,VHDU,32097,10-15,10.0,315215.04833818245,0,0,0,0
2007,1-j1,VHDU,32097,15-20,15.0,128506.78849734725,0,0,0,0
2007,1-j1,VHDU,32097,20-25,20.0,25409.49191397114,0,0,0,0
2007,1-j1,VHDU,32097,>=25,25.0,1201.8002932283644,0,0,0,0
2007,1-k1,VHDU,2197,0-5,0.0,255145.5797222222,1,0,1,0
2007,1-k1,VHDU,2197,5-10,5.0,199105.19055555557,0,0,0,0
2007,1-k1,VHDU,2197,10-15,10.0,97053.36694444444,0,0,0,0
2007,1-k1,VHDU,2197,15-20,15.0,10605.699722222222,0,0,0,0
2007,1-k1,VHDU,2197,20-25,20.0,993.2830555555552,0,0,0,0
2007,1-k2,SDU,2197,0-5,0.0,1337889.8965972222,0,0,0,0
2007,1-k2,SDU,2197,5-10,5.0,1016324.9822916666,1,0,0,1
2007,1-k2,SDU,2197,10-15,10.0,323270.41770833335,0,0,0,0
2007,1-k2,SDU,2197,15-20,15.0,42637.58506944444,0,0,0,0
2007,1-k2,SDU,2197,20-25,20.0,3721.098333333334,0,0,0,0
2007,1-k2,VHDU,2197,0-5,0.0,660826.5253278689,0,0,0,0
2007,1-k2,VHDU,2197,5-10,5.0,515682.0329508197,0,0,0,0
2007,1-k2,VHDU,2197,10-15,10.0,251368.02024590166,0,0,0,0
2007,1-k2,VHDU,2197,15-20,15.0,27468.74040983607,1,0,0,1
2007,1-k2,VHDU,2197,20-25,20.0,2572.6010655737696,0,0,0,0
2007,1-k3,VDU,2197,0-5,0.0,451744.1736111112,0,0,0,0
2007,1-k3,VDU,2197,5-10,5.0,359710.45833333326,0,0,0,0
2007,1-k3,VDU,2197,10-15,10.0,159775.14583333337,1,0,1,0
2007,1-k3,VDU,2197,15-20,15.0,27754.368055555555,0,0,0,0
2007,1-k3,VDU,2197,20-25,20.0,3462.083333333333,0,0,0,0
2007,1-k3,VDU,2197,>=25,25.0,2942.770833333333,0,0,0,0
2007,1-k3,VHDU,2197,0-5,0.0,664846.9383259334,1,1,1,0
2007,1-k3,VHDU,2197,5-10,5.0,518819.39906534605,0,0,0,0
2007,1-k3,VHDU,2197,10-15,10.0,252897.32213854732,0,0,0,0
2007,1-k3,VHDU,2197,15-20,15.0,27635.857916097444,0,0,0,0
2007,1-k3,VHDU,2197,20-25,20.0,2588.2525540755905,0,0,0,0
2007,1-k4,VDU,33204,0-5,0.0,194964.12159326125,1,0,1,0
2007,1-k4,VDU,33204,5-10,5.0,114202.94918640755,0,0,0,0
2007,1-k4,VDU,33204,10-15,10.0,39641.54141271849,0,0,0,0
2007,1-k4,VDU,33204,15-20,15.0,7103.041599586017,0,0,0,0
2007,1-k4,VDU,33204,20-25,20.0,1005.9220762419501,0,0,0,0
2007,1-k4,VDU,33204,>=25,25.0,123.17413178472829,0,0,0,0
2007,1-k5,VHDU,33204,0-5,0.0,529196.2810256409,2,1,2,0
2007,1-k5,VHDU,33204,5-10,5.0,332392.59008547006,0,0,0,0
2007,1-k5,VHDU,33204,10-15,10.0,61960.66393162392,0,0,0,0
2007,1-k5,VHDU,33204,15-20,15.0,8364.423247863246,0,0,0,0
2007,1-k5,VHDU,33204,20-25,20.0,3090.0417094017084,0,0,0,0
2007,1-k6,SDU,33204,0-5,0.0,1741484.1325,1,0,1,0
2007,1-k6,SDU,33204,5-10,5.0,651694.67125,1,0,0,1
2007,1-k6,SDU,33204,10-15,10.0,105366.384375,1,0,0,1
2007,1-k6,SDU,33204,15-20,15.0,17202.675,0,0,0,0
2007,1-k6,SDU,33204,20-25,20.0,2723.756875,0,0,0,0
2007,1-k8,SDU,3223,0-5,0.0,1645852.7234722225,1,0,1,0
2007,1-k8,SDU,3223,5-10,5.0,889633.8966666667,0,0,0,0
2007,1-k8,SDU,3223,10-15,10.0,98598.08875,0,0,0,0
2007,1-k8,SDU,3223,15-20,15.0,2401.1711111111094,0,0,0,0
2007,1-k9,SDU,3317,0-5,0.0,1896697.5625,1,0,1,0
2007,1-k9,SDU,3317,5-10,5.0,1002353.7875000001,1,0,1,0
2007,1-k9,SDU,3317,10-15,10.0,146796.21666666667,0,0,0,0
2007,1-k9,SDU,3317,15-20,15.0,9740.033333333333,0,0,0,0
2007,1-m2,SDU,33419,0-5,0.0,1302385.7171601001,0,0,0,0
2007,1-m2,SDU,33419,5-10,5.0,668902.1676292415,1,0,1,0
2007,1-m2,SDU,33419,10-15,10.0,251981.9029287178,0,0,0,0
2007,1-m2,SDU,33419,15-20,15.0,68223.31604190389,0,0,0,0
2007,1-m2,SDU,33419,20-25,20.0,4051.576240036437,0,0,0,0
2007,1-m2,VHDU,33419,0-5,0.0,468174.77366279066,2,1,2,0
2007,1-m2,VHDU,33419,5-10,5.0,485054.8821511628,0,0,0,0
2007,1-m2,VHDU,33419,10-15,10.0,233910.07476744184,0,0,0,0
2007,1-m2,VHDU,33419,15-20,15.0,42200.271220930226,1,0,0,1
2007,1-m2,VHDU,33419,20-25,20.0,10851.498313953487,0,0,0,0
2007,1-m2,VHDU,33419,>=25,25.0,4113.63988372093,0,0,0,0
2007,1-m3,SDU,33431,0-5,0.0,1110217.0545035119,1,0,1,0
2007,1-m3,SDU,33431,5-10,5.0,661475.9709747046,0,0,0,0
2007,1-m3,SDU,33431,10-15,10.0,126674.95361845488,0,0,0,0
2007,1-m3,SDU,33431,15-20,15.0,23820.16025580997,0,0,0,0
2007,1-m3,SDU,33431,20-25,20.0,219.54064751898403,0,0,0,0
2007,1-m5,VDU,33431,0-5,0.0,377764.805186462,1,0,0,1
2007,1-m5,VDU,33431,5-10,5.0,400140.91412342695,1,0,1,0
2007,1-m5,VDU,33431,10-15,10.0,189700.32824627936,0,0,0,0
2007,1-m5,VDU,33431,15-20,15.0,37390.88699649485,0,0,0,0
2007,1-m5,VDU,33431,20-25,20.0,10165.647402172037,0,0,0,0
2007,1-m5,VDU,33431,>=25,25.0,1577.4280451646262,0,0,0,0
2007,1-m7,VHDU,3242,0-5,0.0,252038.00884834668,0,0,0,0
2007,1-m7,VHDU,3242,5-10,5.0,216055.0655416192,1,0,0,1
2007,1-m7,VHDU,3242,10-15,10.0,70738.12214367162,0,0,0,0
2007,1-m7,VHDU,3242,15-20,15.0,11553.578472063855,0,0,0,0
2007,1-m7,VHDU,3242,20-25,20.0,1637.0192930444696,0,0,0,0
2007,1-m7,VHDU,3242,>=25,25.0,157.40570125427578,0,0,0,0
2007,1-m8,SDU,3242,0-5,0.0,695196.3416666666,1,1,0,1
2007,1-m8,SDU,3242,5-10,5.0,303066.0208333333,0,0,0,0
2007,1-m8,SDU,3242,10-15,10.0,75271.70354166666,0,0,0,0
2007,1-m8,SDU,3242,15-20,15.0,11875.24,0,0,0,0
2007,1-m8,SDU,3242,20-25,20.0,1175.1539583333333,0,0,0,0
2007,1-m9,VHDU,3242,0-5,0.0,594180.1243785634,1,0,1,0
2007,1-m9,VHDU,3242,5-10,5.0,509350.2615051312,0,0,0,0
2007,1-m9,VHDU,3242,10-15,10.0,166765.26848346638,0,0,0,0
2007,1-m9,VHDU,3242,15-20,15.0,27237.585017103764,0,0,0,0
2007,1-m9,VHDU,3242,20-25,20.0,3859.276351197263,0,0,0,0
2007,1-m9,VHDU,3242,>=25,25.0,371.08426453819794,0,0,0,0
2007,1-n0,SDU,3242,0-5,0.0,1196650.9888888889,1,0,1,0
2007,1-n0,SDU,3242,5-10,5.0,521671.6944444444,0,0,0,0
2007,1-n0,SDU,3242,10-15,10.0,129566.21472222223,0,0,0,0
2007,1-n0,SDU,3242,15-20,15.0,20441.013333333336,0,0,0,0
2007,1-n0,SDU,3242,20-25,20.0,2022.8086111111108,0,0,0,0
2007,1-n0,VDU,3242,0-5,0.0,440865.6242222222,0,0,0,0
2007,1-n0,VDU,3242,5-10,5.0,284269.9862291666,1,0,0,1
2007,1-n0,VDU,3242,10-15,10.0,131302.65549652776,0,0,0,0
2007,1-n0,VDU,3242,15-20,15.0,31603.08207986111,0,0,0,0
2007,1-n0,VDU,3242,20-25,20.0,16458.84307986111,0,0,0,0
2007,1-n0,VDU,3242,>=25,25.0,4154.1488923611105,0,0,0,0
2007,1-n1,SDU,33357,0-5,0.0,1132861.504731919,1,1,1,0
2007,1-n1,SDU,33357,5-10,5.0,608147.895119781,0,0,0,0
2007,1-n1,SDU,33357,10-15,10.0,84482.45492356834,0,0,0,0
2007,1-n1,SDU,33357,15-20,15.0,12053.948283139402,0,0,0,0
2007,1-n1,SDU,33357,20-25,20.0,104.81694159251634,0,0,0,0
2007,1-n1,VDU,33357,0-5,0.0,330925.33757494774,0,0,0,0
2007,1-n1,VDU,33357,5-10,5.0,267610.4192203114,1,1,1,0
2007,1-n1,VDU,33357,10-15,10.0,166583.07585173135,0,0,0,0
2007,1-n1,VDU,33357,15-20,15.0,46771.03532070649,0,0,0,0
2007,1-n1,VDU,33357,20-25,20.0,8724.872032303045,0,0,0,0
2007,1-n1,VHDU,33357,0-5,0.0,475679.45003426814,1,0,1,0
