id,timestamp,year,road_section,traffic_period,rate_weather_station_id,rate_weather_time,weather_time_difference_minutes,rate_station_accident_distance_km,weather_station_distance_km,section_length_km,f,fg,temperature_c,vehicle_count,vehicle_group
3179534,2007-01-23 13:45:00,2007,54-04,VDU,1868.0,2007-01-23 13:40:00,5.0,9.587633091648756,10.280100279519766,12.3,3.08,4.31,2.81,2,2 or more vehicles
3181191,2007-01-26 11:38:00,2007,54-03,VDU,1868.0,2007-01-26 11:40:00,2.0,5.6592142395205896,2.6913564127215324,14.05,3.09,3.78,0.41,1,1 vehicle
3182513,2007-01-28 11:23:00,2007,61-34,VDU,2646.0,2007-01-28 11:20:00,3.0,8.856020950712296,10.1750264156985,13.39,3.02,4.6,-0.46,1,1 vehicle
3182600,2007-01-28 15:05:00,2007,54-03,VDU,1868.0,2007-01-28 15:00:00,5.0,4.519978532973537,2.6913564127215324,14.05,6.41,8.23,4.56,2,2 or more vehicles
3185498,2007-02-01 19:05:00,2007,1-f5,VDU,31579.0,2007-02-01 19:00:00,5.0,2.4829738779212707,1.028741036313794,11.96,4.21,8.62,1.8,1,1 vehicle
3186296,2007-02-03 02:30:00,2007,92-07,VDU,5981.0,2007-02-03 02:30:00,0.0,2.1502850096467525,4.3294707374769,12.7,2.11,3.62,3.28,1,1 vehicle
3186654,2007-02-03 17:22:00,2007,35-03,VDU,36411.0,2007-02-03 17:20:00,2.0,15.743126239001894,12.565510462223775,8.47,4.18,6.86,-1.1,2,2 or more vehicles
3187158,2007-02-04 13:46:00,2007,1-g1,VDU,1578.0,2007-02-04 13:50:00,4.0,14.593508631969728,11.984962478044778,10.93,11.49,15.61,-0.73,1,1 vehicle
3187227,2007-02-04 15:25:00,2007,1-g1,VDU,1578.0,2007-02-04 15:20:00,5.0,10.867063460823628,11.984962478044778,10.93,16.7,22.8,-1.93,3,2 or more vehicles
3187445,2007-02-04 19:45:00,2007,54-09,VDU,1936.0,2007-02-04 19:40:00,5.0,4.436564925056994,0.5920738112219328,11.26,5.83,11.01,-3.95,1,1 vehicle
3190123,2007-02-09 09:43:00,2007,41-22,VDU,1453.0,2007-02-09 09:40:00,3.0,9.841070902562583,9.547812554874811,1.88,8.23,11.56,1.84,2,2 or more vehicles
3190319,2007-02-09 16:07:00,2007,504-01,VDU,1673.0,2007-02-09 16:10:00,3.0,8.087566272348818,8.596816864341474,6.63,2.88,5.88,-1.1,1,1 vehicle
3191412,2007-02-11 12:51:00,2007,612-02,VDU,2318.0,2007-02-11 12:50:00,1.0,4.500696020079397,4.681248696271656,12.47,11.1,16.5,1.3,1,1 vehicle
3193105,2007-01-26 20:35:00,2007,61-31,VDU,32654.0,2007-01-26 20:30:00,5.0,18.6136892810442,12.508166723611712,13.67,0.45,1.08,0.9,1,1 vehicle
3198108,2007-02-21 12:53:00,2007,1-b4,VDU,6045.0,2007-02-21 12:50:00,3.0,7.667559645984977,6.360219315714266,12.07,21.91,29.96,1.83,1,1 vehicle
3199223,2007-02-19 06:19:00,2007,1-k4,VDU,33204.0,2007-02-19 06:20:00,1.0,4.457732894923292,4.377143261503581,4.07,3.0,3.92,-0.1,1,1 vehicle
3201167,2007-02-26 14:16:00,2007,26-02,VDU,6420.0,2007-02-26 14:20:00,4.0,12.098195471945175,8.594202972816396,13.93,6.56,8.33,-2.16,1,1 vehicle
3204311,2007-03-02 16:26:00,2007,931-06,VDU,4060.0,2007-03-02 16:30:00,4.0,3.2750266684401614,2.36240251959002,5.66,4.03,7.58,-4.33,2,2 or more vehicles
3204447,2007-03-02 18:15:00,2007,1-d8,VDU,31392.0,2007-03-02 18:10:00,5.0,5.321835338089121,1.811228203445721,16.63,12.43,17.05,-2.0,1,1 vehicle
3205126,2007-03-03 22:24:00,2007,1-d8,VDU,31392.0,2007-03-03 22:20:00,4.0,5.223448984825578,1.811228203445721,16.63,1.52,2.16,0.5,1,1 vehicle
3205179,2007-03-04 00:01:00,2007,1-p4,VDU,3463.0,2007-03-04 00:00:00,1.0,6.133331229479354,6.428645425378839,11.46,5.37,6.76,0.92,1,1 vehicle
3205755,2007-03-04 19:36:00,2007,61-33,VDU,2646.0,2007-03-04 19:40:00,4.0,15.095287288796944,10.974953957267978,13.81,1.5,1.92,-0.09,1,1 vehicle
3205837,2007-03-04 17:07:00,2007,1-c2,VDU,6315.0,2007-03-04 17:10:00,3.0,8.951782485465545,6.674890552366854,7.62,6.42,8.13,3.43,2,2 or more vehicles
3205905,2007-03-05 00:58:00,2007,48-01,VDU,1685.0,2007-03-05 01:00:00,2.0,9.076457244693481,7.895587442359354,10.55,2.87,6.53,3.39,1,1 vehicle
3208738,2007-03-08 15:22:00,2007,1-a7,VDU,6272.0,2007-03-08 15:20:00,2.0,18.951537526767336,18.66933640406827,10.24,12.08,15.91,2.6,1,1 vehicle
3209607,2007-03-09 16:10:00,2007,83-03,VDU,33576.0,2007-03-09 16:10:00,0.0,14.608515048336573,2.8850371857727697,8.45,14.5,22.15,-1.0,1,1 vehicle
3209857,2007-03-10 00:24:00,2007,1-f5,VDU,31579.0,2007-03-10 00:20:00,4.0,2.9530084532000154,1.028741036313794,11.96,2.83,3.92,-0.2,1,1 vehicle
3213260,2007-03-15 19:20:00,2007,1-d8,VDU,31392.0,2007-03-15 19:20:00,0.0,4.431851746706054,1.811228203445721,16.63,5.04,7.35,-1.4,1,1 vehicle
3213370,2007-03-15 22:35:00,2007,82-01,VDU,3463.0,2007-03-15 22:30:00,5.0,2.2292570026272545,2.8505006265868884,10.93,5.27,6.76,-0.64,1,1 vehicle
3214065,2007-03-16 18:12:00,2007,1-d9,VDU,31484.0,2007-03-16 18:10:00,2.0,2.055032753743214,1.9957763377632372,4.41,7.86,9.8,-1.2,1,1 vehicle
3214537,2007-03-17 12:29:00,2007,39-01,VDU,31387.0,2007-03-17 12:30:00,1.0,3.710987514816704,1.6348934580675056,15.67,1.89,3.29,-1.3,2,2 or more vehicles
3214572,2007-03-17 13:30:00,2007,429-02,VDU,1453.0,2007-03-17 13:30:00,0.0,7.264206560655666,6.251374669171158,4.32,16.04,21.36,2.16,2,2 or more vehicles
3215140,2007-03-18 11:58:00,2007,1-g3,VDU,1673.0,2007-03-18 12:00:00,2.0,9.738125027754123,5.382052364477969,11.64,9.6,11.86,-5.29,2,2 or more vehicles
3215202,2007-03-18 15:18:00,2007,1-d8,VDU,31392.0,2007-03-18 15:20:00,2.0,1.363903638478754,1.811228203445721,16.63,15.92,21.56,-8.2,2,2 or more vehicles
3216270,2007-03-20 11:07:00,2007,1-e1,VDU,31484.0,2007-03-20 11:10:00,3.0,1.3951199578771432,4.9875155306340275,9.79,24.69,32.73,-2.7,5,2 or more vehicles
3216310,2007-03-20 11:07:00,2007,1-d9,VDU,31484.0,2007-03-20 11:10:00,3.0,1.1854993330651427,1.9957763377632372,4.41,24.69,32.73,-2.7,2,2 or more vehicles
3216889,2007-03-21 12:18:00,2007,1-d6,VDU,31399.0,2007-03-21 12:20:00,2.0,4.18138412115455,2.8564832758413083,10.48,7.39,9.8,1.7,2,2 or more vehicles
3217117,2007-03-21 18:38:00,2007,1-d9,VDU,31484.0,2007-03-21 18:40:00,2.0,3.0096707205688142,1.9957763377632372,4.41,9.79,12.74,-3.1,1,1 vehicle
3217138,2007-03-21 19:40:00,2007,36-11,VDU,1590.0,2007-03-21 19:40:00,0.0,4.278650320126788,4.097097125921327,7.99,14.31,18.73,-5.15,1,1 vehicle
3217695,2007-03-22 18:49:00,2007,92-10,VDU,34087.0,2007-03-22 18:50:00,1.0,3.364652827332933,6.682100904890704,8.77,11.91,19.21,4.5,1,1 vehicle
3218297,2007-03-23 21:52:00,2007,1-d8,VDU,31392.0,2007-03-23 21:50:00,2.0,2.7949585232260774,1.811228203445721,16.63,8.37,12.25,-1.4,1,1 vehicle
3219211,2007-03-25 07:18:00,2007,50-01,VDU,1779.0,2007-03-25 07:20:00,2.0,6.413111175046354,3.6583584434854974,9.24,7.09,10.26,3.29,1,1 vehicle
3221512,2007-03-28 19:08:00,2007,1-t1,VDU,4271.0,2007-03-28 19:10:00,2.0,11.15602817635858,6.49991970936017,11.24,3.28,5.09,1.03,1,1 vehicle
3224037,2007-04-01 03:50:00,2007,54-03,VHDU,1868.0,2007-04-01 03:50:00,0.0,3.966605876585576,2.6913564127215324,14.05,7.61,10.62,5.37,1,1 vehicle
3224209,2007-04-02 03:19:00,2007,425-02,VHDU,1362.0,2007-04-02 03:20:00,1.0,4.037077238664172,6.245785304434773,14.76,0.3,0.8,6.0,1,1 vehicle
3224935,2007-04-03 10:04:00,2007,47-11,VHDU,1685.0,2007-04-03 10:00:00,4.0,0.7593591247449413,2.85210964840569,13.71,6.38,7.25,5.76,1,1 vehicle
3225257,2007-04-03 20:00:00,2007,420-01,VHDU,31363.0,2007-04-03 20:00:00,0.0,6.933853836551276,3.8504227892375225,11.32,8.08,10.58,6.5,1,1 vehicle
3227155,2007-04-06 17:05:00,2007,54-16,VHDU,31942.0,2007-04-06 17:00:00,5.0,8.384221726209557,7.746523918762176,7.6,6.64,7.74,-0.4,3,2 or more vehicles
3227340,2007-04-07 00:32:00,2007,92-07,VHDU,5981.0,2007-04-07 00:30:00,2.0,2.8287505151170627,4.3294707374769,12.7,1.05,2.67,-2.21,1,1 vehicle
3227832,2007-04-07 19:40:00,2007,92-07,VHDU,5981.0,2007-04-07 19:40:00,0.0,1.972966216996782,4.3294707374769,12.7,6.41,8.3,-0.2,1,1 vehicle
3228238,2007-04-08 15:27:00,2007,264-02,VHDU,6315.0,2007-04-08 15:30:00,3.0,8.535156865528556,10.099060162803555,9.7,6.54,8.56,5.92,1,1 vehicle
3228524,2007-04-09 05:08:00,2007,41-16,VHDU,31363.0,2007-04-09 05:10:00,2.0,8.694485172813613,4.6115007826263295,11.62,6.44,9.02,0.7,2,2 or more vehicles
3231127,2007-04-13 07:11:00,2007,1-d8,VHDU,31392.0,2007-04-13 07:10:00,1.0,4.897196611761465,1.811228203445721,16.63,4.18,5.29,0.8,1,1 vehicle
3232659,2007-04-15 05:37:00,2007,1-m9,VHDU,3242.0,2007-04-15 05:40:00,3.0,5.220213268281842,5.492674552934827,11.1,0.75,1.99,3.02,1,1 vehicle
3233364,2007-04-16 13:03:00,2007,33-02,VHDU,1395.0,2007-04-16 13:00:00,3.0,13.437363440319775,10.874395868285587,8.72,6.09,7.61,5.48,1,1 vehicle
3234578,2007-04-18 06:22:00,2007,1-m2,VHDU,33419.0,2007-04-18 06:20:00,2.0,5.877474313614086,5.573498711103916,13.26,4.71,10.39,-1.0,1,1 vehicle
3235527,2007-04-19 16:01:00,2007,39-01,VHDU,31387.0,2007-04-19 16:00:00,1.0,8.379869282525828,1.6348934580675056,15.67,1.8,3.74,2.4,2,2 or more vehicles
3237466,2007-04-22 16:27:00,2007,1-m7,VHDU,3242.0,2007-04-22 16:30:00,3.0,10.431478499099065,10.084174313361832,4.82,5.24,7.28,8.99,2,2 or more vehicles
3239936,2007-04-26 12:27:00,2007,379-01,VHDU,1391.0,2007-04-26 12:30:00,3.0,0.885312373982104,0.4580757127812887,1.05,5.7,8.3,7.3,1,1 vehicle
3240350,2007-04-27 04:48:00,2007,1-k5,VHDU,33204.0,2007-04-27 04:50:00,2.0,3.014659072662318,0.4927782706765492,7.0,0.65,1.86,1.9,1,1 vehicle
3241575,2007-04-28 22:03:00,2007,410-02,VHDU,31474.0,2007-04-28 22:00:00,3.0,0.7830807931686246,2.0026327697269477,5.51,7.75,13.43,10.4,1,1 vehicle
3244764,2007-05-04 04:32:00,2007,1-g3,VHDU,1673.0,2007-05-04 04:30:00,2.0,9.917938361718715,5.382052364477969,11.64,1.9,2.58,3.42,1,1 vehicle
3246869,2007-05-06 17:00:00,2007,1-m2,VHDU,33419.0,2007-05-06 17:00:00,0.0,0.1273904459259356,5.573498711103916,13.26,19.82,25.09,2.9,2,2 or more vehicles
3248795,2007-05-10 07:48:00,2007,50-01,VHDU,1779.0,2007-05-10 07:50:00,2.0,2.1859348304773873,3.6583584434854974,9.24,4.48,6.37,2.7,1,1 vehicle
3249626,2007-05-11 06:37:00,2007,74-02,VHDU,33424.0,2007-05-11 06:40:00,3.0,11.524266604545895,10.907060834452514,12.48,2.05,2.76,-3.8,1,1 vehicle
3249957,2007-05-11 13:06:00,2007,1-r1,VHDU,4300.0,2007-05-11 13:10:00,4.0,7.040679221097825,4.229520579940802,11.28,6.75,8.82,0.31,1,1 vehicle
3251389,2007-05-13 18:01:00,2007,1-b7,VHDU,36132.0,2007-05-13 18:00:00,1.0,0.586119341710156,3.5572778320905845,13.1,5.16,6.86,8.9,2,2 or more vehicles
3251940,2007-05-14 15:20:00,2007,931-03,VHDU,4060.0,2007-05-14 15:20:00,0.0,7.5145684356449225,4.589215953742234,10.28,2.59,4.76,5.55,2,2 or more vehicles
3252700,2007-05-15 16:05:00,2007,35-01,VHDU,31399.0,2007-05-15 16:00:00,5.0,4.50371179612703,4.900372212107007,8.51,5.02,7.55,8.9,2,2 or more vehicles
3252793,2007-05-15 17:39:00,2007,1-d6,VHDU,31399.0,2007-05-15 17:40:00,1.0,1.1138192913088227,2.8564832758413083,10.48,5.53,8.82,8.7,1,1 vehicle
3252922,2007-05-15 22:23:00,2007,54-06,VHDU,31948.0,2007-05-15 22:20:00,3.0,14.485414227038953,14.210592795930184,12.24,2.54,4.12,3.4,1,1 vehicle
3256198,2007-05-20 12:19:00,2007,1-f5,VHDU,31579.0,2007-05-20 12:20:00,1.0,6.577270528633859,1.028741036313794,11.96,7.89,10.49,6.5,2,2 or more vehicles
3256518,2007-05-21 02:34:00,2007,41-17,VHDU,31363.0,2007-05-21 02:30:00,4.0,12.059169721286148,12.363112815580855,4.56,7.11,11.47,1.1,2,2 or more vehicles
3257136,2007-05-21 15:40:00,2007,54-18,VHDU,2050.0,2007-05-21 15:40:00,0.0,8.05156333729932,11.5449724864244,17.21,4.41,6.76,3.59,1,1 vehicle
3260307,2007-05-25 14:47:00,2007,61-45,VHDU,32643.0,2007-05-25 14:50:00,3.0,0.833904112675637,1.843407294456912,8.9,5.11,8.04,1.1,1,1 vehicle
3264807,2007-05-31 15:50:00,2007,1-d2,VHDU,36308.0,2007-05-31 15:50:00,0.0,11.419074828359598,8.371302373817642,13.69,10.27,14.21,14.0,2,2 or more vehicles
3266829,2007-06-03 05:14:00,2007,41-16,SDU,31363.0,2007-06-03 05:10:00,4.0,4.075684661972024,4.6115007826263295,11.62,8.52,12.35,9.0,1,1 vehicle
3267105,2007-06-03 16:43:00,2007,1-d8,SDU,31392.0,2007-06-03 16:40:00,3.0,5.913384440370233,1.811228203445721,16.63,12.96,17.44,6.8,1,1 vehicle
3267156,2007-06-03 18:39:00,2007,54-06,SDU,31948.0,2007-06-03 18:40:00,1.0,9.310281883827036,14.210592795930184,12.24,11.23,15.58,7.6,1,1 vehicle
3271244,2007-06-09 12:39:00,2007,435-02,SDU,1496.0,2007-06-09 12:40:00,1.0,6.640245095562256,7.355674807437691,12.21,5.46,6.66,5.78,1,1 vehicle
3271475,2007-06-09 18:55:00,2007,26-04,SDU,6430.0,2007-06-09 18:50:00,5.0,11.9732587117442,8.221070880365758,11.76,6.37,8.46,10.95,1,1 vehicle
3271535,2007-06-09 20:48:00,2007,844-02,SDU,33394.0,2007-06-09 20:50:00,2.0,13.87418792576417,14.482847046455833,10.76,4.87,5.74,10.8,1,1 vehicle
3272132,2007-06-10 17:42:00,2007,52-02,SDU,1689.0,2007-06-10 17:40:00,2.0,15.175394762736767,12.04572010508629,14.69,3.81,5.88,10.94,1,1 vehicle
3272190,2007-06-10 19:32:00,2007,1-f8,SDU,1578.0,2007-06-10 19:30:00,2.0,5.929683622113841,8.386002541654312,5.76,2.92,4.11,13.75,1,1 vehicle
3272208,2007-06-10 20:28:00,2007,1-b0,SDU,36156.0,2007-06-10 20:30:00,2.0,9.488910977664155,5.81305271343813,12.09,4.58,5.68,12.0,1,1 vehicle
3273207,2007-06-11 12:48:00,2007,82-02,SDU,3463.0,2007-06-11 12:50:00,2.0,8.802986864019065,13.181185413476229,10.71,7.59,10.29,7.94,1,1 vehicle
3273746,2007-06-12 20:38:00,2007,63-05,SDU,2428.0,2007-06-12 20:40:00,2.0,7.796196715641481,8.303324329029156,14.5,0.8,3.07,7.35,1,1 vehicle
3274456,2007-06-12 14:43:00,2007,1-g1,SDU,1578.0,2007-06-12 14:40:00,3.0,10.020251303994076,11.984962478044778,10.93,2.43,4.27,13.89,1,1 vehicle
3276469,2007-06-15 17:46:00,2007,92-05,SDU,5975.0,2007-06-15 17:50:00,4.0,1.0547633284481672,0.8526656987226161,1.63,1.63,2.58,9.2,2,2 or more vehicles
3276571,2007-06-15 23:02:00,2007,1-m8,SDU,3242.0,2007-06-15 23:00:00,2.0,9.707911318340766,8.462555147729427,5.33,0.0,0.09,9.99,2,2 or more vehicles
3277663,2007-06-17 06:36:00,2007,574-07,SDU,1925.0,2007-06-17 06:40:00,4.0,3.131597101931931,3.065826324639123,5.1,5.9,7.6,9.9,1,1 vehicle
3278214,2007-06-18 02:49:00,2007,41-16,SDU,31363.0,2007-06-18 02:50:00,1.0,8.933246654634099,4.6115007826263295,11.62,3.4,4.9,8.9,1,1 vehicle
3279171,2007-06-19 12:41:00,2007,1-p4,SDU,3463.0,2007-06-19 12:40:00,1.0,10.202709428070925,6.428645425378839,11.46,4.52,5.74,11.44,3,2 or more vehicles
3279596,2007-06-19 21:22:00,2007,417-01,SDU,31484.0,2007-06-19 21:20:00,2.0,4.718157226254373,4.711306448890887,8.4,4.91,6.08,9.6,1,1 vehicle
3281606,2007-06-22 09:17:00,2007,355-01,SDU,36411.0,2007-06-22 09:20:00,3.0,9.367693486511829,8.679471608475556,8.2,1.73,3.04,11.3,1,1 vehicle
3281892,2007-06-22 16:25:00,2007,1-p1,SDU,33357.0,2007-06-22 16:20:00,5.0,6.686617742171806,2.6900827429345155,10.45,5.21,8.13,12.3,2,2 or more vehicles
3282175,2007-06-22 13:28:00,2007,1-m2,SDU,33419.0,2007-06-22 13:30:00,2.0,10.943480853532566,5.573498711103916,13.26,9.81,13.52,15.3,1,1 vehicle
3282894,2007-06-23 19:08:00,2007,1-a1,SDU,36386.0,2007-06-23 19:10:00,2.0,0.6988962725694343,3.488285220225965,9.01,12.51,20.62,12.8,2,2 or more vehicles
3283217,2007-06-24 04:51:00,2007,54-10,SDU,31931.0,2007-06-24 04:50:00,1.0,5.831708326380007,2.024564862693844,14.3,2.77,3.82,8.6,1,1 vehicle
3283226,2007-06-24 05:02:00,2007,341-01,SDU,36411.0,2007-06-24 05:00:00,2.0,7.529770566605841,7.668954339177006,7.68,2.44,3.33,5.6,1,1 vehicle
3283587,2007-06-24 17:04:00,2007,35-02,SDU,31399.0,2007-06-24 17:00:00,4.0,9.130226163211463,12.28642901367293,7.8,6.13,8.43,15.1,2,2 or more vehicles
3283624,2007-06-24 18:17:00,2007,41-15,SDU,1370.0,2007-06-24 18:20:00,3.0,3.510215500304654,1.361433362983291,13.29,6.51,7.74,15.02,1,1 vehicle
3284752,2007-06-26 06:41:00,2007,61-45,SDU,32643.0,2007-06-26 06:40:00,1.0,0.17971827913164434,1.843407294456912,8.9,2.46,3.43,8.3,1,1 vehicle
3285128,2007-06-26 19:21:00,2007,1-f7,SDU,1578.0,2007-06-26 19:20:00,1.0,5.029784344437816,5.451325677960265,0.94,4.0,11.37,14.56,1,1 vehicle
3285753,2007-06-27 17:40:00,2007,42-02,SDU,1368.0,2007-06-27 17:40:00,0.0,11.028006192124197,11.020295061122308,13.31,7.88,11.89,11.38,1,1 vehicle
3285811,2007-06-27 19:22:00,2007,60-47,SDU,2641.0,2007-06-27 19:20:00,2.0,3.120948886815311,1.3076373185269048,4.95,2.89,5.06,9.1,1,1 vehicle
3287229,2007-06-29 15:28:00,2007,48-02,SDU,1590.0,2007-06-29 15:30:00,2.0,5.311073465446112,5.455728618179233,6.56,4.89,7.22,10.55,1,1 vehicle
3288121,2007-06-30 16:51:00,2007,1-d9,SDU,31484.0,2007-06-30 16:50:00,1.0,1.2786591668643281,1.9957763377632372,4.41,4.34,7.06,12.9,2,2 or more vehicles
3289021,2007-07-01 19:09:00,2007,60-45,SDU,2631.0,2007-07-01 19:10:00,1.0,7.719888697679336,6.4985876809721335,3.48,5.26,7.12,12.05,1,1 vehicle
3289326,2007-07-02 08:52:00,2007,1-p1,SDU,33357.0,2007-07-02 08:50:00,2.0,5.734713637806795,2.6900827429345155,10.45,0.52,1.32,6.1,1,1 vehicle
3291565,2007-07-04 17:13:00,2007,643-06,SDU,2692.0,2007-07-04 17:10:00,3.0,9.727987000967818,8.875510890828616,18.71,4.96,6.69,5.73,1,1 vehicle
3291770,2007-07-04 23:30:00,2007,427-11,SDU,1486.0,2007-07-04 23:30:00,0.0,13.232992252163776,12.248048342736665,15.33,1.4,3.69,11.02,1,1 vehicle
3292790,2007-07-06 12:53:00,2007,41-16,SDU,31363.0,2007-07-06 12:50:00,3.0,6.657767013236086,4.6115007826263295,11.62,8.32,11.76,11.8,1,1 vehicle
3293098,2007-07-06 15:25:00,2007,35-01,SDU,31399.0,2007-07-06 15:20:00,5.0,7.99585295994699,4.900372212107007,8.51,7.43,11.96,14.5,1,1 vehicle
3293954,2007-07-07 19:23:00,2007,1-s5,SDU,34238.0,2007-07-07 19:20:00,3.0,17.21786448177712,11.05888658286931,19.94,2.28,3.14,7.1,1,1 vehicle
3294033,2007-07-07 21:40:00,2007,354-02,SDU,36411.0,2007-07-07 21:40:00,0.0,7.621477362464528,7.480070497946684,5.93,1.38,2.06,13.7,1,1 vehicle
3294384,2007-07-08 06:29:00,2007,1-n1,SDU,33357.0,2007-07-08 06:30:00,1.0,9.813019518349597,7.600410813299837,10.63,3.09,3.77,5.7,1,1 vehicle
